FinalID,sch_start_B_0,sch_start_E,sch_start_E_h,sch_start_T_h,bri_start_B_0,bri_start_T_0,bri_start_T_m,cub_start_B_0,cub_start_B_1,cub_start_B_2,cub_start_B_3,sch_final_B_0,sch_final_E,sch_final_E_h,sch_final_T_h,bri_final_B_0,bri_final_T_0,bri_final_T_m,cub_final_B_0,cub_final_B_1,cub_final_B_2,cub_final_B_3,Est_Tpk,Max_response,sch_R_Squared,sch_AICc,sch_BIC,bri_R_Squared,bri_AICc,bri_BIC,cub_R_Squared,cub_AICc,cub_BIC,sch_delta_AICc,bri_delta_AICc,cub_delta_AICc,sch_Wi_AICc,bri_Wi_AICc,cub_Wi_AICc,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak
MTD3709,0.88114107,0.66,1.15,317.15,0.01,283.15,317.15,0.0,0.0,0.0,0.0,0.9911403841157993,0.63542151713561,1.395211540766145,305.1500001278109,0.00010512398341175576,278.7271000523758,318.80384149716156,3331.805264464992,-35.200046648529245,0.12346695308379654,-0.0001437347459914758,305.15,3.207607,0.9832590540518933,-73.61388239541515,-73.12931844075356,0.9749951685812069,-69.75471291585231,-68.79788335644952,0.9871023727734028,-78.30853823280388,-77.8239742781423,4.694655837388737,8.553825316951574,0.0,0.08618611295320117,0.012514954913479533,0.9012989321333192,18.0,1.0,17.0
MTD3710,0.48811412,0.66,1.15,320.15,0.01,283.15,320.15,0.0,0.0,0.0,0.0,0.5532195246557315,0.6228913475323017,1.3390344724621737,313.15000000000015,7.717444791707094e-05,282.1667674478248,329.41432535199465,4880.137377263091,-49.42396890611003,0.16647084231369086,-0.00018641372213257817,313.15,3.2266245,0.9951341034295076,-92.56831918607509,-91.64770612655218,0.9677159435594291,-59.87133433179458,-58.63801739429526,0.9977354536927243,-107.10097374157444,-106.18036068205154,14.532654555499349,47.22963940977986,0.0,0.0006981855167776599,5.545117931343483e-11,0.9993018144277712,19.0,17.0,2.0
MTD3711,0.19651347,0.66,1.15,316.15,0.01,284.15,316.15,0.0,0.0,0.0,0.0,0.1975348546658343,0.6667352566466305,1.4561205485513584,313.9503870955791,2.165765549563103e-05,282.0444454057157,358.0208192295853,2331.044689919674,-23.48479240089606,0.07869365093091506,-8.767245336704391e-05,313.15,1.4833597,0.9986091015146715,-135.81336779633966,-135.32880384167808,0.9773595818464961,-88.95984289940446,-88.00301334000167,0.9963442054827916,-118.41882448846674,-117.93426053380516,0.0,46.8535248969352,17.394543307872922,0.9998329868957501,6.695974650513568e-11,0.0001670130372901491,18.0,3.0,15.0
MTD3712,0.059633028,0.66,1.15,319.15,0.01,283.15,319.15,0.0,0.0,0.0,0.0,0.04837457367144825,0.7637146595020707,0.7600000006103466,319.15,4.88146703308827e-06,284.9577785756986,499.9999703659621,-383.70729906894303,3.9732236894441404,-0.013743580578670778,1.588546010883657e-05,319.15,0.8669725,0.9905424289611535,-132.12999590027658,-131.20938284075368,0.9228482317272271,-95.50691947492285,-94.27360253742353,0.9986256156722694,-168.7773805742113,-167.85676751468839,36.64738467393471,73.27046109928844,0.0,1.1018475876705453e-08,1.2289140917955207e-16,0.999999988981524,19.0,2.0,17.0
MTD3713,0.07339449,0.66,1.15,319.15,0.01,283.15,319.15,0.0,0.0,0.0,0.0,0.06583343969021047,0.7006127326051341,0.7600000004425331,319.15,4.8945972524115965e-06,283.3320024373075,499.99999977619154,-580.4650818622306,5.919265158146938,-0.02015294615590295,2.2916250162038673e-05,319.15,0.9105504999999999,0.9788938883504315,-116.87839512495498,-115.95778206543207,0.930252267695947,-97.42441507584752,-96.1910981383482,0.9980828045551303,-162.45368064329753,-161.53306758377462,45.575285518342554,65.02926556745001,0.0,1.2689733283241158e-10,7.569625624381e-15,0.9999999998730951,19.0,6.0,13.0
MTD3714,0.050458714,0.66,1.15,319.15,0.01,283.15,319.15,0.0,0.0,0.0,0.0,0.0495151478640699,0.62265162857065,0.7600000013361148,319.15,2.5691433200740206e-06,281.4938752910886,499.99999999994856,-318.27153018386696,3.216925106996712,-0.010857693710083674,1.224325304638953e-05,319.15,0.5022936,0.9661927374934338,-132.76291650316168,-131.84230344363877,0.9501611281051441,-128.6457870890652,-127.41247015156588,0.9892343820208219,-154.50496061148854,-153.58434755196564,21.742044108326866,25.859173522423333,0.0,1.9000533882785008e-05,2.425171808673688e-06,0.9999785742943085,19.0,6.0,13.0
MTD3715,0.036697246,0.66,1.15,319.15,0.01,283.15,319.15,0.0,0.0,0.0,0.0,0.048974276803107245,0.5353563057794599,0.7600000007302626,319.15,1.662102947372546e-06,278.46971224170363,499.99999968122,-225.61740239840762,2.254051270808914,-0.007519076956823388,8.380264482772481e-06,319.15,0.32568806,0.9676853025305039,-150.62926461483084,-149.70865155530794,0.9785468629955084,-161.66978169265363,-160.4364647551543,0.9945296371086999,-184.37663142268656,-183.45601836316365,33.74736680785571,22.70684973003293,0.0,4.6972891413104084e-08,1.1729111534578415e-05,0.9999882239155741,19.0,1.0,18.0
MTD3744,8.694372,0.66,1.15,309.15,0.01,287.15,309.15,0.0,0.0,0.0,0.0,8.649174125038483,0.7066445139899129,1.2832250949035198,291.65000005399025,0.00011901563746300041,229.88967175051746,312.04503645582776,-38185.24383193275,379.9846009198557,-1.2588747879141855,0.0013887806849396083,291.65,10.333102,0.984835003938413,-21.528751185042953,-26.60383676051614,0.8868114662608914,-4.65613156454368,-6.891017174719996,0.9899862218510929,-26.09405832558655,-31.169143901059734,4.565307140543595,21.437926761042867,0.0,0.09256795221818029,2.0073257611647284e-05,0.9074119745242082,11.0,3.0,8.0
MTD3745,7.572878,0.3028114454810966,1.15,309.15,0.01,288.15,309.15,0.0,0.0,0.0,0.0,6.4357190960760695,0.2940933576500509,1.3059568708602414,304.92597060493733,0.00023514719100319287,265.1994074319179,312.5418522063808,1356.2338832531595,-19.061855126193244,0.08254100466682165,-0.00011324649353663142,299.15,9.183745,0.9739107025232988,2.5166597786600633,-17.699699625118683,0.9325139848235686,-4.830573667521662,-12.992843220355724,0.960754903539284,5.374769113992642,-14.841590289786105,7.3472334461817255,0.0,10.205342781514304,0.024610137630475606,0.9694948667601594,0.005894995609365111,7.0,3.0,4.0
MTD3758,2.644253836,0.66,1.15,318.15,0.01,289.15,318.15,0.0,0.0,0.0,0.0,2.400421920155483,0.20000000021803344,4.459011450684124,313.6073229373905,0.00011155560897517653,272.87512349629765,318.15014259826677,15384.342013957716,-156.24793142322974,0.528603185811064,-0.0005955620049182672,304.15,4.1,0.9521485475741289,0.5599683660950223,-12.455598800518969,0.970632090130263,-12.678956119012668,-18.44063149397316,0.9856616609069991,-9.081347362414954,-22.096914529028943,13.23892448510769,0.0,3.5976087565977135,0.0011433947516748203,0.8570222940214737,0.14183431122685158,8.0,4.0,4.0
